RequestsNum:										
11										
Requests and depot info:										
ID	Loc_x		Loc_y	RdrNum	LugNum	EarTime	LatTime	DDL_Arr	TUB	
0	121.430649	31.15344	0	0	0	1440	1440	1440		
1	121.3272287	31.1807562	1	1	422	452	485	33		
2	121.4048637	31.2609823	1	0	418	448	485	37		
3	121.4624585	31.2091887	2	1	440	470	495	25		
4	121.399733	31.2128983	1	0	441	471	495	24		
5	121.490314	31.1804742	1	1	428	458	480	22		
6	121.283182	31.1264508	1	2	413	443	485	42		
7	121.4866696	31.188197	1	0	435	465	490	25		
8	121.5437087	31.0883148	2	1	411	441	490	49		
9	121.4617571	31.1516053	1	1	442	472	490	18		
10	121.3026158	31.1959028	1	0	419	449	495	46		
										
DisMat:										
0	13397.114	13552.926	8233.017	8046.874	6767.904	16424.672	7599.383	16612.675	6530.403	20670.002
12403.789	0	14738.942	14997.235	9179.462	19077.421	10173.96	19590.573	28342.595	18851.996	10620.26
13355.703	15563.882	0	10061.968	6410.398	14599.979	22851.38	14847.689	26225.538	17562.399	15904.507
8915.132	16445.908	9799.47	0	7296.154	6161.779	21740.307	6409.489	17787.338	8686.114	20177.69
8013.214	10311.794	6633.941	7327.041	0	11672.669	17068.472	11920.379	23147.262	13468.051	13084.916
6790.243	20017.713	15002.254	5327.65	11963.454	0	23045.271	1096.006	12046.094	4847.979	25048.37
16678.118	11406.456	22792.556	21278.08	17108.205	23351.75	0	24183.229	31260.091	22647.892	13029.466
7635.638	20863.108	16052.81	6378.206	13014.01	1138.896	23890.666	0	13115.984	5693.374	26098.926
16665.882	29362.234	26660.125	16985.521	23088.117	11996.347	31141.308	13092.353	0	12571.07	36173.033
6513.254	19778.598	18002.222	8575.39	13464.499	4831.04	22243.603	5662.519	12594.544	0	26549.415
15926.226	4670.618	16710.467	18070.939	12177.293	22416.567	11239.202	22664.277	31849.371	22374.433	0
