RequestsNum:															
16															
Requests and depot info:															
ID	Loc_x		Loc_y	RdrNum	LugNum	EarTime	LatTime	DDL_Arr	TUB						
0	121.430649	31.15344	0	0	0	1440	1440	1440							
1	121.3272287	31.1807562	1	1	422	452	485	33							
2	121.4048637	31.2609823	1	0	418	448	485	37							
3	121.4624585	31.2091887	2	1	440	470	495	25							
4	121.399733	31.2128983	1	0	441	471	495	24							
5	121.490314	31.1804742	1	1	428	458	480	22							
6	121.283182	31.1264508	1	2	413	443	485	42							
7	121.4866696	31.188197	1	0	435	465	490	25							
8	121.5437087	31.0883148	2	1	411	441	490	49							
9	121.4617571	31.1516053	1	1	442	472	490	18							
10	121.3026158	31.1959028	1	0	419	449	495	46							
11	121.480053	31.2405607	1	1	426	456	490	34							
12	121.3821244	31.118829	1	0	439	469	490	21							
13	121.409281	31.1216839	1	1	449	479	495	16							
14	121.4719051	31.2393778	1	1	423	453	485	32							
15	121.5103684	31.0725258	1	0	414	444	490	46							
															
DisMat:															
0	13397.114	13552.926	8233.017	8046.874	6767.904	16424.672	7599.383	16612.675	6530.403	20670.002	12478.387	7226.495	5604.334	11854.972	15582.951
12403.789	0	14738.942	14997.235	9179.462	19077.421	10173.96	19590.573	28342.595	18851.996	10620.26	17307.48	9791.209	12327.367	16446.787	26794
13355.703	15563.882	0	10061.968	6410.398	14599.979	22851.38	14847.689	26225.538	17562.399	15904.507	9509.038	18605.89	17899.648	8712.639	26528.313
8915.132	16445.908	9799.47	0	7296.154	6161.779	21740.307	6409.489	17787.338	8686.114	20177.69	4810.091	14640.197	13934.932	4291.277	17640.156
8013.214	10311.794	6633.941	7327.041	0	11672.669	17068.472	11920.379	23147.262	13468.051	13084.916	8898.888	13099.315	12402.328	8038.195	22217.577
6790.243	20017.713	15002.254	5327.65	11963.454	0	23045.271	1096.006	12046.094	4847.979	25048.37	8091.954	13970.493	12348.332	7860.107	13459.291
16678.118	11406.456	22792.556	21278.08	17108.205	23351.75	0	24183.229	31260.091	22647.892	13029.466	25122.33	12708.705	15244.863	24365.007	29711.496
7635.638	20863.108	16052.81	6378.206	13014.01	1138.896	23890.666	0	13115.984	5693.374	26098.926	8411.034	14815.888	13193.727	8179.187	14529.181
16665.882	29362.234	26660.125	16985.521	23088.117	11996.347	31141.308	13092.353	0	12571.07	36173.033	20088.301	20593.077	17341.612	19856.454	4086.838
6513.254	19778.598	18002.222	8575.39	13464.499	4831.04	22243.603	5662.519	12594.544	0	26549.415	12130.748	11609.052	9104.088	11695.415	11664.859
15926.226	4670.618	16710.467	18070.939	12177.293	22416.567	11239.202	22664.277	31849.371	22374.433	0	20312.159	13297.985	15834.143	19451.466	30300.776
12489.767	18375.385	10015.389	5290.069	9036.533	7845.866	24836.543	7984.772	19822.954	12111.138	21324.763	0	18214.832	17509.567	952.103	21065.18
6756.757	11290.124	18424.05	13550.828	12334.108	13524.661	13069.198	14356.14	20110.953	11264.067	18944.638	17796.198	0	3546.453	17172.783	18562.358
5562.315	13230.557	18115.655	13245.997	12025.713	12330.219	15009.631	13161.698	17652.45	9102.149	20885.071	17491.367	4202.994	0	16867.952	16103.855
12225.528	17640.352	9217.407	5080.679	8249.308	7817.332	24397.03	7956.238	19794.42	11901.748	20435.103	860.693	17950.593	17245.328	0	20855.79
15728.189	27922.443	26688.147	17268.992	22150.424	13383.598	29701.517	14479.604	4086.838	11633.377	35235.34	21029.093	19153.286	15901.821	20593.76	0
