RequestsNum:																				
21																				
Requests and depot info:																				
ID	Loc_x	Loc_y	RdrNum	LugNum	EarTime	LatTime	DDL_Arr	TUB												
0	121.430649	31.15344	0	0	0	1440	1440	1440												
1	121.3272287	31.1807562	1	1	422	452	485	33												
2	121.4048637	31.2609823	1	0	418	448	485	37												
3	121.4624585	31.2091887	2	1	440	470	495	25												
4	121.399733	31.2128983	1	0	441	471	495	24												
5	121.490314	31.1804742	1	1	428	458	480	22												
6	121.283182	31.1264508	1	2	413	443	485	42												
7	121.4866696	31.188197	1	0	435	465	490	25												
8	121.5437087	31.0883148	2	1	411	441	490	49												
9	121.4617571	31.1516053	1	1	442	472	490	18												
10	121.3026158	31.1959028	1	0	419	449	495	46												
11	121.480053	31.2405607	1	1	426	456	490	34												
12	121.3821244	31.118829	1	0	439	469	490	21												
13	121.409281	31.1216839	1	1	449	479	495	16												
14	121.4719051	31.2393778	1	1	423	453	485	32												
15	121.5103684	31.0725258	1	0	414	444	490	46												
16	121.4447393	31.2011749	2	1	435	465	485	20												
17	121.4083541	31.232899	1	0	437	467	495	28												
18	121.4413154	31.1930196	1	1	444	474	490	16												
19	121.4954208	31.2160635	1	2	425	455	485	30												
20	121.4908827	31.231971	1	0	431	461	495	34												
																				
DisMat:																				
0	13397.114	13552.926	8233.017	8046.874	6767.904	16424.672	7599.383	16612.675	6530.403	20670.002	12478.387	7226.495	5604.334	11854.972	15582.951	6365.279	9682.638	5144.397	11088.095	12178.431
12403.789	0	14738.942	14997.235	9179.462	19077.421	10173.96	19590.573	28342.595	18851.996	10620.26	17307.48	9791.209	12327.367	16446.787	26794	13129.497	12092.255	12811.568	18279.365	18013.637
13355.703	15563.882	0	10061.968	6410.398	14599.979	22851.38	14847.689	26225.538	17562.399	15904.507	9509.038	18605.89	17899.648	8712.639	26528.313	8390.629	3774.032	9621.638	12103.8	11109.522
8915.132	16445.908	9799.47	0	7296.154	6161.779	21740.307	6409.489	17787.338	8686.114	20177.69	4810.091	14640.197	13934.932	4291.277	17640.156	2949.805	7643.896	4014.9	3673.613	4510.135
8013.214	10311.794	6633.941	7327.041	0	11672.669	17068.472	11920.379	23147.262	13468.051	13084.916	8898.888	13099.315	12402.328	8038.195	22217.577	5437.085	2939.904	5419.229	10351.818	9605.045
6790.243	20017.713	15002.254	5327.65	11963.454	0	23045.271	1096.006	12046.094	4847.979	25048.37	8091.954	13970.493	12348.332	7860.107	13459.291	6586.157	12746.236	6815.372	5645.206	7345.581
16678.118	11406.456	22792.556	21278.08	17108.205	23351.75	0	24183.229	31260.091	22647.892	13029.466	25122.33	12708.705	15244.863	24365.007	29711.496	19410.342	20020.998	18648.892	24560.21	24822.374
7635.638	20863.108	16052.81	6378.206	13014.01	1138.896	23890.666	0	13115.984	5693.374	26098.926	8411.034	14815.888	13193.727	8179.187	14529.181	7636.713	13796.792	7865.928	5964.286	7664.661
16665.882	29362.234	26660.125	16985.521	23088.117	11996.347	31141.308	13092.353	0	12571.07	36173.033	20088.301	20593.077	17341.612	19856.454	4086.838	18244.028	24404.107	18363.583	17641.553	19341.928
6513.254	19778.598	18002.222	8575.39	13464.499	4831.04	22243.603	5662.519	12594.544	0	26549.415	12130.748	11609.052	9104.088	11695.415	11664.859	9800.732	14831.03	8739.965	9852.683	11553.058
15926.226	4670.618	16710.467	18070.939	12177.293	22416.567	11239.202	22664.277	31849.371	22374.433	0	20312.159	13297.985	15834.143	19451.466	30300.776	16203.201	15090.086	15885.272	21353.069	21018.316
12489.767	18375.385	10015.389	5290.069	9036.533	7845.866	24836.543	7984.772	19822.954	12111.138	21324.763	0	18214.832	17509.567	952.103	21065.18	6719.648	8211.126	7959.334	3549.119	1759.951
6756.757	11290.124	18424.05	13550.828	12334.108	13524.661	13069.198	14356.14	20110.953	11264.067	18944.638	17796.198	0	3546.453	17172.783	18562.358	11683.09	14791.888	10467.773	16572.241	17496.242
5562.315	13230.557	18115.655	13245.997	12025.713	12330.219	15009.631	13161.698	17652.45	9102.149	20885.071	17491.367	4202.994	0	16867.952	16103.855	11378.259	14483.727	10159.612	16267.41	17191.411
12225.528	17640.352	9217.407	5080.679	8249.308	7817.332	24397.03	7956.238	19794.42	11901.748	20435.103	860.693	17950.593	17245.328	0	20855.79	6455.409	7339.745	7695.095	4140.788	2459.503
15728.189	27922.443	26688.147	17268.992	22150.424	13383.598	29701.517	14479.604	4086.838	11633.377	35235.34	21029.093	19153.286	15901.821	20593.76	0	18486.657	23516.955	17425.89	18751.028	20451.403
6194.384	13794.923	9200.236	2469.035	5377.297	6814.663	18877.654	7062.373	18440.222	9777.083	18462.213	7024.004	11919.449	11214.184	6400.589	18742.997	0	6480.697	1775.621	5751.165	6724.048
10015.451	12981.669	3870.288	8338.507	3070.146	12743.004	19738.347	12990.714	24368.563	15256.611	14570.394	7992.928	15265.638	14559.396	7147.712	24006.137	6464.276	0	6776.467	10380.339	9386.061
5160.71	13553.056	9535.047	3132.475	5411.845	6622.661	18358.672	6870.371	18248.22	9108.563	18496.761	7854.729	10885.775	10180.51	7231.314	17858.089	1465.206	6778.376	0	6154.772	7554.773
11167.444	19185.208	12536.881	3744.311	10258.211	5406.136	24267.939	5545.042	17383.224	9996.484	23139.747	3528.666	17056.8	16351.535	4210.983	18796.421	5390.285	10381.307	6171.025	0	2085.85
12208.503	18985.751	11559.711	5008.805	9646.899	7163.426	24555.279	7302.332	19140.514	11753.774	22357.872	1695.626	17933.568	17228.303	2538.351	20553.711	6438.384	9404.137	7678.07	2369.185	0
